"Nodes";"DateTime"
2825;2014-04-10
2815;2014-04-10
2802;2014-04-10
2797;2014-04-10
2792;2014-04-10
2804;2014-04-10
2812;2014-04-10
2816;2014-04-10
2824;2014-04-10
2827;2014-04-10
2833;2014-04-10
2830;2014-04-10
2816;2014-04-10
2823;2014-04-10
2823;2014-04-10
2831;2014-04-10
2834;2014-04-10
2845;2014-04-10
2840;2014-04-10
2846;2014-04-10
2846;2014-04-10
2855;2014-04-10
2847;2014-04-11
2840;2014-04-11
2842;2014-04-11
2837;2014-04-11
2826;2014-04-11
2821;2014-04-11
2828;2014-04-11
2823;2014-04-11
2834;2014-04-11
2822;2014-04-11
2829;2014-04-11
2842;2014-04-11
2853;2014-04-11
2859;2014-04-11
2854;2014-04-11
2855;2014-04-11
2855;2014-04-11
2847;2014-04-11
2841;2014-04-11
2850;2014-04-11
2860;2014-04-11
2858;2014-04-11
2853;2014-04-11
2865;2014-04-11
2860;2014-04-12
2861;2014-04-12
2864;2014-04-12
2853;2014-04-12
2836;2014-04-12
2824;2014-04-12
2817;2014-04-12
2809;2014-04-12
2824;2014-04-12
2830;2014-04-12
2839;2014-04-12
2846;2014-04-12
2842;2014-04-12
2853;2014-04-12
2842;2014-04-12
2841;2014-04-12
2851;2014-04-12
2859;2014-04-12
2851;2014-04-12
2866;2014-04-12
2859;2014-04-12
2858;2014-04-12
2858;2014-04-12
2856;2014-04-12
2850;2014-04-13
2842;2014-04-13
2850;2014-04-13
2855;2014-04-13
2828;2014-04-13
2838;2014-04-13
2837;2014-04-13
2834;2014-04-13
2833;2014-04-13
2838;2014-04-13
2834;2014-04-13
2839;2014-04-13
2843;2014-04-13
2819;2014-04-13
2859;2014-04-13
2855;2014-04-13
2854;2014-04-13
2856;2014-04-13
2851;2014-04-13
2854;2014-04-13
2860;2014-04-13
2851;2014-04-13
2846;2014-04-13
2848;2014-04-13
2857;2014-04-14
2853;2014-04-14
2853;2014-04-14
2851;2014-04-14
2841;2014-04-14
2852;2014-04-14
2845;2014-04-14
2836;2014-04-14
2849;2014-04-14
2848;2014-04-14
2857;2014-04-14
2857;2014-04-14
2861;2014-04-14
2865;2014-04-14
2869;2014-04-14
2863;2014-04-14
2863;2014-04-14
2867;2014-04-14
2870;2014-04-14
2865;2014-04-14
2876;2014-04-14
2890;2014-04-14
2877;2014-04-14
2888;2014-04-14
2888;2014-04-15
2889;2014-04-15
2881;2014-04-15
2877;2014-04-15
2870;2014-04-15
2876;2014-04-15
2872;2014-04-15
2871;2014-04-15
2877;2014-04-15
2884;2014-04-15
2887;2014-04-15
2903;2014-04-15
2897;2014-04-15
2901;2014-04-15
2906;2014-04-15
2908;2014-04-15
2900;2014-04-15
2904;2014-04-15
2902;2014-04-15
2902;2014-04-15
2914;2014-04-15
2916;2014-04-15
2907;2014-04-15
2916;2014-04-15
2907;2014-04-16
2911;2014-04-16
2895;2014-04-16
2897;2014-04-16
2896;2014-04-16
2885;2014-04-16
2887;2014-04-16
2887;2014-04-16
2889;2014-04-16
2893;2014-04-16
2896;2014-04-16
2908;2014-04-16
2909;2014-04-16
2907;2014-04-16
2908;2014-04-16
2911;2014-04-16
2906;2014-04-16
2902;2014-04-16
2904;2014-04-16
2903;2014-04-16
2909;2014-04-16
2925;2014-04-16
2909;2014-04-16
2903;2014-04-16
2901;2014-04-17
2893;2014-04-17
2891;2014-04-17
2885;2014-04-17
2873;2014-04-17
2868;2014-04-17
2870;2014-04-17
2868;2014-04-17
2880;2014-04-17
2881;2014-04-17
2888;2014-04-17
2893;2014-04-17
2901;2014-04-17
2899;2014-04-17
2906;2014-04-17
2906;2014-04-17
2894;2014-04-17
2894;2014-04-17
2904;2014-04-17
2899;2014-04-17
2906;2014-04-17
2911;2014-04-17
2912;2014-04-17
2914;2014-04-17
2910;2014-04-18
2903;2014-04-18
2890;2014-04-18
2891;2014-04-18
2887;2014-04-18
2873;2014-04-18
2866;2014-04-18
2866;2014-04-18
2866;2014-04-18
2870;2014-04-18
2876;2014-04-18
2874;2014-04-18
2881;2014-04-18
2889;2014-04-18
2889;2014-04-18
2888;2014-04-18
2900;2014-04-18
2899;2014-04-18
2907;2014-04-18
2898;2014-04-18
2862;2014-04-18
2904;2014-04-18
2904;2014-04-18
2905;2014-04-18
2907;2014-04-19
2901;2014-04-19
2898;2014-04-19
2895;2014-04-19
2883;2014-04-19
2880;2014-04-19
2884;2014-04-19
2885;2014-04-19
2892;2014-04-19
2894;2014-04-19
2898;2014-04-19
2908;2014-04-19
2898;2014-04-19
2904;2014-04-19
2908;2014-04-19
2911;2014-04-19
2916;2014-04-19
2921;2014-04-19
2922;2014-04-19
2925;2014-04-19
2928;2014-04-19
2931;2014-04-19
2936;2014-04-19
2929;2014-04-19
2923;2014-04-20
2922;2014-04-20
2910;2014-04-20
2896;2014-04-20
2895;2014-04-20
2890;2014-04-20
2891;2014-04-20
2883;2014-04-20
2884;2014-04-20
2881;2014-04-20
2887;2014-04-20
2898;2014-04-20
2895;2014-04-20
2904;2014-04-20
2905;2014-04-20
2897;2014-04-20
2906;2014-04-20
2889;2014-04-20
2894;2014-04-20
2908;2014-04-20
2906;2014-04-20
2914;2014-04-20
2922;2014-04-20
2911;2014-04-20
2913;2014-04-21
2889;2014-04-21
2886;2014-04-21
2883;2014-04-21
2878;2014-04-21
2870;2014-04-21
2861;2014-04-21
2868;2014-04-21
2871;2014-04-21
2863;2014-04-21
2872;2014-04-21
2881;2014-04-21
2876;2014-04-21
2884;2014-04-21
2883;2014-04-21
2879;2014-04-21
2891;2014-04-21
2893;2014-04-21
2886;2014-04-21
2895;2014-04-21
2890;2014-04-21
2892;2014-04-21
2900;2014-04-21
2907;2014-04-21
2900;2014-04-22
2892;2014-04-22
2887;2014-04-22
2859;2014-04-22
2872;2014-04-22
2861;2014-04-22
2858;2014-04-22
2855;2014-04-22
2864;2014-04-22
2865;2014-04-22
2877;2014-04-22
2875;2014-04-22
2884;2014-04-22
2888;2014-04-22
2884;2014-04-22
2893;2014-04-22
2879;2014-04-22
2873;2014-04-22
2869;2014-04-22
2860;2014-04-22
2869;2014-04-22
2890;2014-04-22
2880;2014-04-22
2882;2014-04-22
2871;2014-04-23
2854;2014-04-23
2859;2014-04-23
2864;2014-04-23
2864;2014-04-23
2854;2014-04-23
2854;2014-04-23
2844;2014-04-23
2863;2014-04-23
2872;2014-04-23
2868;2014-04-23
2885;2014-04-23
2603;2014-04-23
2883;2014-04-23
2892;2014-04-23
2895;2014-04-23
2897;2014-04-23
2906;2014-04-23
2899;2014-04-23
2899;2014-04-23
2905;2014-04-23
2907;2014-04-23
2901;2014-04-23
2910;2014-04-23
2913;2014-04-24
2913;2014-04-24
2898;2014-04-24
2890;2014-04-24
2891;2014-04-24
2878;2014-04-24
2895;2014-04-24
2893;2014-04-24
2898;2014-04-24
2898;2014-04-24
2891;2014-04-24
2901;2014-04-24
2901;2014-04-24
2910;2014-04-24
2905;2014-04-24
2900;2014-04-24
2896;2014-04-24
2908;2014-04-24
2982;2014-04-24
2995;2014-04-24
2979;2014-04-24
2974;2014-04-24
2971;2014-04-24
2970;2014-04-24
2960;2014-04-25
2944;2014-04-25
2943;2014-04-25
2945;2014-04-25
2941;2014-04-25
2936;2014-04-25
2944;2014-04-25
2939;2014-04-25
2936;2014-04-25
2940;2014-04-25
2947;2014-04-25
2957;2014-04-25
2949;2014-04-25
2967;2014-04-25
2965;2014-04-25
2966;2014-04-25
2967;2014-04-25
2977;2014-04-25
2967;2014-04-25
2977;2014-04-25
2968;2014-04-25
2971;2014-04-25
2978;2014-04-25
2966;2014-04-25
2965;2014-04-26
2975;2014-04-26
2968;2014-04-26
2962;2014-04-26
2957;2014-04-26
2958;2014-04-26
2957;2014-04-26
2963;2014-04-26
2965;2014-04-26
2973;2014-04-26
2975;2014-04-26
2978;2014-04-26
2976;2014-04-26
2977;2014-04-26
2984;2014-04-26
2977;2014-04-26
2979;2014-04-26
2990;2014-04-26
2997;2014-04-26
2997;2014-04-26
3001;2014-04-26
2976;2014-04-26
2999;2014-04-26
2991;2014-04-26
2994;2014-04-27
2982;2014-04-27
2972;2014-04-27
2961;2014-04-27
2958;2014-04-27
2961;2014-04-27
2956;2014-04-27
2954;2014-04-27
2962;2014-04-27
2964;2014-04-27
2982;2014-04-27
2990;2014-04-27
2981;2014-04-27
2994;2014-04-27
2995;2014-04-27
2982;2014-04-27
2986;2014-04-27
2976;2014-04-27
2990;2014-04-27
2976;2014-04-27
2983;2014-04-27
2979;2014-04-27
2950;2014-04-27
2972;2014-04-27
2995;2014-04-28
2983;2014-04-28
2984;2014-04-28
2979;2014-04-28
2969;2014-04-28
2973;2014-04-28
2973;2014-04-28
2970;2014-04-28
2973;2014-04-28
2984;2014-04-28
2996;2014-04-28
3000;2014-04-28
3002;2014-04-28
3011;2014-04-28
3026;2014-04-28
3022;2014-04-28
3011;2014-04-28
3027;2014-04-28
3035;2014-04-28
3049;2014-04-28
3050;2014-04-28
3041;2014-04-28
3074;2014-04-28
3076;2014-04-28
3067;2014-04-29
3060;2014-04-29
3043;2014-04-29
3045;2014-04-29
3042;2014-04-29
3042;2014-04-29
3042;2014-04-29
3043;2014-04-29
3043;2014-04-29
3049;2014-04-29
3052;2014-04-29
3043;2014-04-29
3061;2014-04-29
3061;2014-04-29
3061;2014-04-29
3062;2014-04-29
3062;2014-04-29
3072;2014-04-29
3071;2014-04-29
3078;2014-04-29
3089;2014-04-29
3086;2014-04-29
3086;2014-04-29
3077;2014-04-29
3072;2014-04-30
3067;2014-04-30
3042;2014-04-30
3096;2014-04-30
3096;2014-04-30
3098;2014-04-30
3093;2014-04-30
3089;2014-04-30
3095;2014-04-30
3111;2014-04-30
3116;2014-04-30
3123;2014-04-30
3118;2014-04-30
3119;2014-04-30
3117;2014-04-30
3151;2014-04-30
3150;2014-04-30
3144;2014-04-30
3148;2014-04-30
3136;2014-04-30
3140;2014-04-30
3142;2014-04-30
3146;2014-04-30
3157;2014-04-30
3145;2014-05-01
3151;2014-05-01
3139;2014-05-01
3140;2014-05-01
3129;2014-05-01
3122;2014-05-01
3125;2014-05-01
3118;2014-05-01
3116;2014-05-01
3129;2014-05-01
3132;2014-05-01
3146;2014-05-01
3140;2014-05-01
3149;2014-05-01
3149;2014-05-01
3197;2014-05-01
3200;2014-05-01
3207;2014-05-01
3208;2014-05-01
3200;2014-05-01
3203;2014-05-01
3209;2014-05-01
3203;2014-05-01
3199;2014-05-01
3189;2014-05-02
3178;2014-05-02
3161;2014-05-02
3150;2014-05-02
3144;2014-05-02
3155;2014-05-02
3144;2014-05-02
3140;2014-05-02
3172;2014-05-02
3161;2014-05-02
3168;2014-05-02
3190;2014-05-02
3196;2014-05-02
3208;2014-05-02
3214;2014-05-02
3216;2014-05-02
3227;2014-05-02
3214;2014-05-02
3227;2014-05-02
3223;2014-05-02
3230;2014-05-02
3232;2014-05-02
3235;2014-05-02
3237;2014-05-03
3235;2014-05-03
3233;2014-05-03
3229;2014-05-03
3217;2014-05-03
3221;2014-05-03
3223;2014-05-03
3221;2014-05-03
3223;2014-05-03
3229;2014-05-03
3236;2014-05-03
3235;2014-05-03
3245;2014-05-03
3239;2014-05-03
3246;2014-05-03
3247;2014-05-03
3239;2014-05-03
3257;2014-05-03
3247;2014-05-03
3252;2014-05-03
3251;2014-05-03
3253;2014-05-03
3253;2014-05-03
3214;2014-05-03
3241;2014-05-04
3241;2014-05-04
3229;2014-05-04
3229;2014-05-04
3227;2014-05-04
3209;2014-05-04
3211;2014-05-04
3213;2014-05-04
3214;2014-05-04
3230;2014-05-04
3235;2014-05-04
3236;2014-05-04
3237;2014-05-04
3241;2014-05-04
3245;2014-05-04
3246;2014-05-04
3245;2014-05-04
3238;2014-05-04
3235;2014-05-04
3236;2014-05-04
3232;2014-05-04
3236;2014-05-04
3241;2014-05-04
3243;2014-05-04
3245;2014-05-05
3224;2014-05-05
3212;2014-05-05
3208;2014-05-05
3197;2014-05-05
3201;2014-05-05
